Date,Private non-financial corporations (All),SME,Large businesses
Sep-98,5.6,n/a,n/a
Oct-98,5.2,n/a,n/a
Nov-98,6.8,n/a,n/a
Dec-98,6.5,n/a,n/a
Jan-99,6.7,n/a,n/a
Feb-99,4.5,n/a,n/a
Mar-99,5.6,n/a,n/a
Apr-99,6.2,n/a,n/a
May-99,5,n/a,n/a
Jun-99,4.6,n/a,n/a
Jul-99,4.3,n/a,n/a
Aug-99,4,n/a,n/a
Sep-99,4.2,n/a,n/a
Oct-99,3.8,n/a,n/a
Nov-99,3.5,n/a,n/a
Dec-99,5.4,n/a,n/a
Jan-00,4.7,n/a,n/a
Feb-00,6.7,n/a,n/a
Mar-00,8.7,n/a,n/a
Apr-00,10.5,n/a,n/a
May-00,14,n/a,n/a
Jun-00,12.9,n/a,n/a
Jul-00,14.2,n/a,n/a
Aug-00,16.1,n/a,n/a
Sep-00,16.9,n/a,n/a
Oct-00,16.3,n/a,n/a
Nov-00,14.4,n/a,n/a
Dec-00,12.6,n/a,n/a
Jan-01,14.1,n/a,n/a
Feb-01,13,n/a,n/a
Mar-01,11.9,n/a,n/a
Apr-01,10.1,n/a,n/a
May-01,6.4,n/a,n/a
Jun-01,9.9,n/a,n/a
Jul-01,8.9,n/a,n/a
Aug-01,7.8,n/a,n/a
Sep-01,6.7,n/a,n/a
Oct-01,7.9,n/a,n/a
Nov-01,9.2,n/a,n/a
Dec-01,8.6,n/a,n/a
Jan-02,6.9,n/a,n/a
Feb-02,5.4,n/a,n/a
Mar-02,5.1,n/a,n/a
Apr-02,4.5,n/a,n/a
May-02,5.9,n/a,n/a
Jun-02,3.1,n/a,n/a
Jul-02,3,n/a,n/a
Aug-02,4.1,n/a,n/a
Sep-02,3.7,n/a,n/a
Oct-02,4.6,n/a,n/a
Nov-02,5.6,n/a,n/a
Dec-02,7.7,n/a,n/a
Jan-03,7.4,n/a,n/a
Feb-03,8.2,n/a,n/a
Mar-03,8.7,n/a,n/a
Apr-03,9.6,n/a,n/a
May-03,9.8,n/a,n/a
Jun-03,11.2,n/a,n/a
Jul-03,10.9,n/a,n/a
Aug-03,8.9,n/a,n/a
Sep-03,9.3,n/a,n/a
Oct-03,8.1,n/a,n/a
Nov-03,8,n/a,n/a
Dec-03,7,n/a,n/a
Jan-04,8.8,n/a,n/a
Feb-04,8.9,n/a,n/a
Mar-04,6.9,n/a,n/a
Apr-04,6.3,n/a,n/a
May-04,6.2,n/a,n/a
Jun-04,5.4,n/a,n/a
Jul-04,6.6,n/a,n/a
Aug-04,7.6,n/a,n/a
Sep-04,8.9,n/a,n/a
Oct-04,9,n/a,n/a
Nov-04,6.3,n/a,n/a
Dec-04,7.9,n/a,n/a
Jan-05,8.7,n/a,n/a
Feb-05,8.3,n/a,n/a
Mar-05,11.2,n/a,n/a
Apr-05,13,n/a,n/a
May-05,13.6,n/a,n/a
Jun-05,16,n/a,n/a
Jul-05,15.6,n/a,n/a
Aug-05,15.5,n/a,n/a
Sep-05,16.1,n/a,n/a
Oct-05,16.1,n/a,n/a
Nov-05,19.3,n/a,n/a
Dec-05,17.7,n/a,n/a
Jan-06,15.7,n/a,n/a
Feb-06,15.8,n/a,n/a
Mar-06,17,n/a,n/a
Apr-06,16.1,n/a,n/a
May-06,16.8,n/a,n/a
Jun-06,15.9,n/a,n/a
Jul-06,17.7,n/a,n/a
Aug-06,18.9,n/a,n/a
Sep-06,18.1,n/a,n/a
Oct-06,17.8,n/a,n/a
Nov-06,17.7,n/a,n/a
Dec-06,18.2,n/a,n/a
Jan-07,18.8,n/a,n/a
Feb-07,19.6,n/a,n/a
Mar-07,18.3,n/a,n/a
Apr-07,18.5,n/a,n/a
May-07,18.2,n/a,n/a
Jun-07,17.7,n/a,n/a
Jul-07,17.4,n/a,n/a
Aug-07,16.9,n/a,n/a
Sep-07,16.6,n/a,n/a
Oct-07,18.1,n/a,n/a
Nov-07,17.6,n/a,n/a
Dec-07,16.6,n/a,n/a
Jan-08,15.2,n/a,n/a
Feb-08,15.7,n/a,n/a
Mar-08,14.3,n/a,n/a
Apr-08,14.7,n/a,n/a
May-08,13.3,n/a,n/a
Jun-08,13.2,n/a,n/a
Jul-08,11.1,n/a,n/a
Aug-08,10,n/a,n/a
Sep-08,8.9,n/a,n/a
Oct-08,6.8,n/a,n/a
Nov-08,4.6,n/a,n/a
Dec-08,3.8,n/a,n/a
Jan-09,4.7,n/a,n/a
Feb-09,3.3,n/a,n/a
Mar-09,2.8,n/a,n/a
Apr-09,0.4,n/a,n/a
May-09,0.1,n/a,n/a
