"Annex A: Consumer price indices, CPIH and CPI: representative items in 2021",,,
,,,
01.1 Food,,,
,01.1.1 Bread and Cereals,,
,,Large white loaves - sliced and unsliced,Large wholemeal loaf
,,Bread rolls,Garlic bread
,,Flour,Chilled pizza
,,Rice,Quiche
,,Pasta,Dehydrated noodles/pasta
,,Breakfast cereals,Hot oat cereal
,,Gluten free breakfast cereals,Cereal bars
,,Sponge cakes,Doughnuts
,,Pack of individual cakes,Crumpets
,,Various selected biscuits,Crackers
,,Popcorn,Couscous
,,,
,01.1.2 Meat,,
,Beef,,
,,Rump steak,Roasting joint
,,Mince,Frozen burgers
,Lamb,,
,,Loin chops,Shoulder
,Pork,,
,,Loin chops,Back bacon
,,Gammon,Oven-ready joint
,Chicken,,
,,Fresh/chilled whole chicken,Fresh chicken breasts
,,Rotisserie cooked hot whole chicken,
,Other Meats,,
,,Pork sausages,Meat pies
,,Cooked meats - eg ham,Fresh diced/minced turkey
,,Canned meats,Frozen chicken nuggets
,,Chicken kievs,Liver
,,Continental deli type meat,Meat based snacks
,,,
,01.1.3 Fish,,
,,Fresh white fish fillets,Fresh salmon fillets
,,Canned tuna,Fish fingers
,,Frozen prawns,Frozen breaded/battered white fish
,,,
,"01.1.4 Milk, Cheese and Eggs",,
,,Full-fat and semi-skimmed milk - shop-bought and delivered,
,,Flavoured milk,Non-dairy milk drink
,,Fresh cream,Yoghurt
,,Chilled pot dessert,Fromage frais
,,Various sized eggs,Cheddar - home-produced
,,Other regional cheeses,Soft continental cheese
,,Parmesan,Cheese spread
,,Powdered baby formula,
,,,
,01.1.5 Oils and Fats,,
,,Margarine/low fat spread,Olive oil
,,Block butter,Spreadable butter
,,Peanut butter,
,,,
,01.1.6 Fruit,,
,,Cooking apples,Dessert apples
,,Pears,Bananas
,,Strawberries,Grapes
,,Oranges,Small oranges
,,Avocado pears,Plums
,,Kiwi fruit,Grapefruit
,,Melon,Blueberries
,,Pineapple,Raspberries
,,Lemon,Fresh fruit snacking pot
,,Dried fruit,Canned fruit
,,Salted/roasted peanuts,
,,,
,01.1.7 Vegetables,,
,,"Loose and pre-packed potatoes - old, new and baking varieties",
,,Prepared mashed potato,Frozen chips
,,Crisps - single and multi-packs,Vegetable crisps
,,Corn based snacks,Peppers
,,Fresh tomatoes,Cabbage
,,Cauliflower,Carrots
,,Mushrooms,Onions
,,Lettuce,Cucumbers
,,Broccoli,Courgettes
,,Sweet potatoes,Pre-packed salad
,,Vegetable stir fry,Canned baked beans
,,Canned tomatoes,Canned sweetcorn
,,Frozen pre-prepared vegetables,Frozen peas
,,Vegetarian burger/grills,Vegetarian pickle
,,,
,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery",,
,,Sugar,Jam
,,Honey,Ice cream
,,"Various selected popular brands of sweets, chocolates, gum and mints",
,,,
,01.1.9 Food Products (not elsewhere covered),,
,,Soup,Ready cooked meals
,,"Various sauces - eg tomato ketchup, mayonnaise",
,,Protein powder,
,,,
01.2 Non-Alcoholic Beverages,,,
,"01.2.1 Coffee, Tea and Cocoa",,
,,Tea bags,Flavoured tea
,,Coffee sachets,Instant coffee
,,Coffee pods,Hot chocolate drink
,,,
,"01.2.2 Mineral Waters, Soft Drinks and Juices",,
,,Various pure fruit juices,Squashes
,,Fruit drink,Fruit/vegetable juice smoothie
,,Mineral water,Flavoured water
,,Lemonade,Cola
,,Various fizzy drinks,Mixer drinks
,,Energy drinks,
,,,
02.1 Alcoholic Beverages (Off Sales),,,
,02.1.1 Spirits,,
,,Whisky,Vodka
,,Brandy,Rum
,,Gin,Cream liqueur
,,Pre-mixed spirit drink,
,,,
,02.1.2 Wine,,
,,White wine,Red wine
,,Rose wine,Fortified wine
,,Sparkling wine,Champagne
,,Bottled flavoured cider,Canned apple cider
,,,
,02.1.3 Beer,,
,,Canned lager,Canned bitter
,,Bottled lager,Canned stout
,,Bottled speciality beer/ale,
,,,
02.2 Tobacco,,,
,,Selected brand cigarettes,Hand rolling tobacco
,,Cigars,Electronic cigarette refills/liquid
,,,
03.1 Clothing,,,
,03.1.2 Garments,,
,Men’s Clothing,,
,,Suit,Coat
,,"Trousers - formal, casual",Casual jacket
,,Jumper,Jeans
,,Various shirts,T shirts
,,Loungewear bottoms,Shorts
,,Tracksuit bottoms,Branded sports sweatshirt
,,Replica football team shirt,Man’s base layer top
,,Socks,Underwear
,Women’s Clothing,,
,,Blouse,"Skirt - formal, casual"
,,Dress,"Trousers - formal, casual"
,,Jeans,Leggings
,,Tops,T shirt
,,Cardigan,Jumper
,,Sweatshirt,Shorts
,,Coat,"Jacket - formal, casual"
,,Rainwear,Exercise leggings
,,Swimwear,Nightware
,,Underwear,Tights
,Children’s Clothing,,
,,"Schoolwear - trousers, skirt",Fashion top
,,Jumper/sweatshirt/cardigan,T shirt
,,Jeans,Trousers
,,Girl's leggings,Jacket
,,Underwear,Socks
,,Pyjamas,Baby’s sleepsuit
,,,
,03.1.3 Other Clothing and Clothing Accessories,,
,,Man’s tie,Knitting wool
,,Lady’s scarf,Cycle helmet
,,Hat/cap,
,,,
,"03.1.4 Cleaning, Repair and Hire of Clothing",,
,,Dry-cleaning,Men’s clothing hire
,,,
03.2 Footwear including Repairs,,,
,,"Shoes - formal, school, casual and fashion",
,,"Boots - formal, fashion and walking/hiking boot",
,,Training shoes,Sandals
,,,
04.1 Actual Rentals for Housing,,,
,,Private furnished and unfurnished rent,Local authority rent
,,Registered social landlord (RSL) rent,UK holiday accommodation (self-catered)
,,,
04.2 Owner Occupiers’ Housing Costs (only in CPIH),,,
,,"Imputed rent in England, Scotland, Northern Ireland and Wales",
,,,
04.3 Regular Maintenance and Repair of the Dwelling,,,
,04.3.1 Materials for Maintenance and Repair,,
