Figure 2: Real wages increased in financial year ending 2020,,,
"Average weekly earnings annual growth rates (seasonally adjusted) and impact of inflation, Great Britain, January to March 2008 to March to May 2020",,,
,,,
Notes,,,
Unit,%,,
,,,
,Total pay (nominal),Impact of inflation,Total pay (real)
Jan-Mar 2008,4.8,-3,1.8
Feb-Apr 2008,4.7,-3,1.7
Mar-May 2008,4.6,-3.1,1.5
Apr-Jun 2008,3.8,-3.2,0.6
May-Jul 2008,3.5,-3.6,-0.1
Jun-Aug 2008,3.1,-4,-0.8
Jul-Sep 2008,2.9,-4.3,-1.4
Aug-Oct 2008,3,-4.4,-1.4
Sep-Nov 2008,2.8,-4.3,-1.5
Oct-Dec 2008,2.7,-3.7,-0.9
Nov-Jan 2009,1.2,-3.2,-2
Dec-Feb 2009,-1.6,-2.7,-4.3
Jan-Mar 2009,-2.7,-3,-5.7
Feb-Apr 2009,-1.8,-2.7,-4.5
Mar-May 2009,0.4,-2.4,-2
Apr-Jun 2009,1.1,-1.8,-0.7
May-Jul 2009,0.7,-1.7,-1
Jun-Aug 2009,0.6,-1.5,-0.9
Jul-Sep 2009,0.6,-1.3,-0.7
Aug-Oct 2009,0.6,-1.3,-0.7
Sep-Nov 2009,0.7,-1.3,-0.6
Oct-Dec 2009,0.8,-1.6,-0.9
Nov-Jan 2010,1.1,-1.9,-0.8
Dec-Feb 2010,2.6,-1.9,0.7
Jan-Mar 2010,2.8,-0.6,2.2
Feb-Apr 2010,2.7,-1,1.7
Mar-May 2010,1.6,-1.6,0
Apr-Jun 2010,1.6,-3.1,-1.5
May-Jul 2010,1.8,-2.7,-0.9
Jun-Aug 2010,1.8,-2.5,-0.6
Jul-Sep 2010,2,-2.4,-0.5
Aug-Oct 2010,2.1,-2.5,-0.4
Sep-Nov 2010,2.2,-2.6,-0.5
Oct-Dec 2010,2.2,-3.1,-0.9
Nov-Jan 2011,2.5,-2.7,-0.3
Dec-Feb 2011,2.6,-3.2,-0.6
Jan-Mar 2011,2.7,-3.3,-0.6
Feb-Apr 2011,2.4,-3.9,-1.5
Mar-May 2011,2.3,-3.7,-1.5
Apr-Jun 2011,2.4,-3.7,-1.3
May-Jul 2011,2.7,-3.8,-1.2
Jun-Aug 2011,2.6,-4,-1.3
Jul-Sep 2011,2.2,-4.1,-1.9
Aug-Oct 2011,1.9,-4.2,-2.3
Sep-Nov 2011,1.9,-4.2,-2.3
Oct-Dec 2011,1.9,-3.9,-2
Nov-Jan 2012,1.4,-3.5,-2.1
Dec-Feb 2012,1,-3,-2
Jan-Mar 2012,0.7,-3,-2.3
Feb-Apr 2012,1.2,-2.9,-1.7
Mar-May 2012,1.4,-2.8,-1.4
Apr-Jun 2012,1.5,-2.5,-1
May-Jul 2012,1.4,-2.4,-1
Jun-Aug 2012,1.6,-2.4,-0.8
Jul-Sep 2012,1.8,-2.3,-0.5
Aug-Oct 2012,1.7,-2.2,-0.5
Sep-Nov 2012,1.5,-2.2,-0.8
Oct-Dec 2012,1.2,-2.2,-1
Nov-Jan 2013,1.3,-2.3,-1
Dec-Feb 2013,1.2,-2.3,-1.1
Jan-Mar 2013,0.7,-2.5,-1.7
Feb-Apr 2013,1.4,-2.4,-1
Mar-May 2013,1.6,-2.5,-0.9
Apr-Jun 2013,2,-2.4,-0.4
May-Jul 2013,1.1,-2.4,-1.3
Jun-Aug 2013,0.7,-2.3,-1.6
Jul-Sep 2013,0.7,-2.3,-1.6
Aug-Oct 2013,0.8,-2.2,-1.4
Sep-Nov 2013,0.8,-2,-1.2
Oct-Dec 2013,1,-1.9,-0.9
Nov-Jan 2014,1.2,-1.8,-0.6
Dec-Feb 2014,1.7,-1.8,-0.1
Jan-Mar 2014,1.6,-1.7,0
Feb-Apr 2014,0.6,-1.6,-1
Mar-May 2014,0,-1.6,-1.6
Apr-Jun 2014,-0.1,-1.6,-1.7
May-Jul 2014,0.4,-1.6,-1.2
Jun-Aug 2014,0.6,-1.6,-1
Jul-Sep 2014,0.9,-1.5,-0.6
Aug-Oct 2014,1.4,-1.4,0
Sep-Nov 2014,1.7,-1.3,0.5
Oct-Dec 2014,2,-1.1,1
Nov-Jan 2015,1.9,-0.8,1.1
Dec-Feb 2015,1.7,-0.6,1.2
Jan-Mar 2015,2.3,-0.4,1.9
Feb-Apr 2015,2.7,-0.4,2.3
Mar-May 2015,3.1,-0.4,2.7
Apr-Jun 2015,2.5,-0.4,2.1
May-Jul 2015,2.8,-0.4,2.4
Jun-Aug 2015,3,-0.3,2.6
Jul-Sep 2015,2.9,-0.3,2.6
Aug-Oct 2015,2.4,-0.3,2.1
Sep-Nov 2015,2,-0.3,1.7
Oct-Dec 2015,1.9,-0.4,1.5
Nov-Jan 2016,2.2,-0.6,1.6
Dec-Feb 2016,2,-0.6,1.4
Jan-Mar 2016,2.3,-0.8,1.5
Feb-Apr 2016,2.2,-0.7,1.5
Mar-May 2016,2.5,-0.8,1.7
Apr-Jun 2016,2.5,-0.7,1.7
May-Jul 2016,2.4,-0.7,1.7
Jun-Aug 2016,2.4,-0.8,1.5
Jul-Sep 2016,2.3,-1,1.4
Aug-Oct 2016,2.4,-1.2,1.3
Sep-Nov 2016,2.7,-1.4,1.3
Oct-Dec 2016,2.5,-1.5,0.9
Nov-Jan 2017,2.1,-1.7,0.4
Dec-Feb 2017,2.1,-2,0.1
Jan-Mar 2017,2.2,-2.2,0
Feb-Apr 2017,2.2,-2.4,-0.2
Mar-May 2017,2,-2.5,-0.5
Apr-Jun 2017,2.3,-2.6,-0.3
May-Jul 2017,2.2,-2.6,-0.4
Jun-Aug 2017,2.3,-2.6,-0.3
Jul-Sep 2017,2.2,-2.7,-0.5
Aug-Oct 2017,2.5,-2.8,-0.3
Sep-Nov 2017,2.5,-2.8,-0.3
Oct-Dec 2017,2.6,-2.8,-0.2
Nov-Jan 2018,2.7,-2.8,-0.1
Dec-Feb 2018,2.8,-2.7,0.1
Jan-Mar 2018,2.9,-2.5,0.3
Feb-Apr 2018,2.7,-2.3,0.4
Mar-May 2018,2.7,-2.2,0.4
Apr-Jun 2018,2.2,-2.2,0
May-Jul 2018,2.6,-2.3,0.3
Jun-Aug 2018,2.8,-2.3,0.5
Jul-Sep 2018,3,-2.3,0.7
Aug-Oct 2018,3.3,-2.3,1.1
Sep-Nov 2018,3.4,-2.2,1.2
Oct-Dec 2018,3.6,-2.2,1.4
Nov-Jan 2019,3.5,-2,1.4
Dec-Feb 2019,3.6,-2,1.6
Jan-Mar 2019,3.3,-1.9,1.4
Feb-Apr 2019,3.3,-1.9,1.4
Mar-May 2019,3.5,-1.9,1.6
Apr-Jun 2019,4,-1.9,2
May-Jul 2019,3.9,-1.9,2
Jun-Aug 2019,3.7,-1.9,1.8
Jul-Sep 2019,3.6,-1.8,1.9
Aug-Oct 2019,3.2,-1.6,1.5
Sep-Nov 2019,3.2,-1.6,1.6
Oct-Dec 2019,2.9,-1.5,1.4
Nov-Jan 2020,3.1,-1.6,1.5
Dec-Feb 2020,2.9,-1.7,1.2
Jan-Mar 2020,2.3,-1.7,0.7
Feb-Apr 2020,1,-1.3,-0.4
Mar-May 2020,-0.3,-1,-1.3
,undefined,undefined,undefined
