Title,Avg wkly earnings: Whole Economy Historic Level (£): Non Seasonally Adjusted,Avg wkly earnings: Whole Economy (£): Seasonally Adjusted
string,number,number
1963 JAN,10.6,
1963 FEB,10.8,
1963 MAR,10.8,
1963 APR,10.8,
1963 MAY,10.8,
1963 JUN,11,
1963 JUL,11.1,
1963 AUG,11.1,
1963 SEP,10.8,
1963 OCT,10.8,
1963 NOV,11.1,
1963 DEC,11.4,
1964 JAN,11.4,
1964 FEB,11.7,
1964 MAR,11.7,
1964 APR,12,
1964 MAY,12,
1964 JUN,11.9,
1964 JUL,11.9,
1964 AUG,11.9,
1964 SEP,12,
1964 OCT,12,
1964 NOV,11.9,
1964 DEC,11.9,
1965 JAN,12,
1965 FEB,12.3,
1965 MAR,12.6,
1965 APR,12.3,
1965 MAY,12.8,
1965 JUN,12.8,
1965 JUL,12.8,
1965 AUG,12.5,
1965 SEP,12.8,
1965 OCT,13.1,
1965 NOV,13.1,
1965 DEC,12.8,
1966 JAN,13.1,
1966 FEB,13.1,
1966 MAR,13.7,
1966 APR,13.7,
1966 MAY,13.4,
1966 JUN,13.6,
1966 JUL,13.7,
1966 AUG,13.4,
1966 SEP,13.4,
1966 OCT,13.4,
1966 NOV,13.7,
1966 DEC,13.4,
1967 JAN,13.7,
1967 FEB,13.7,
1967 MAR,13.5,
1967 APR,13.7,
1967 MAY,13.7,
1967 JUN,14.1,
1967 JUL,14.2,
1967 AUG,13.9,
1967 SEP,14.3,
1967 OCT,14.3,
1967 NOV,14.5,
1967 DEC,14.2,
1968 JAN,14.6,
1968 FEB,14.6,
1968 MAR,15.2,
1968 APR,14.8,
1968 MAY,15.1,
1968 JUN,15.4,
1968 JUL,15.4,
1968 AUG,15.1,
1968 SEP,15.4,
1968 OCT,15.4,
1968 NOV,15.5,
1968 DEC,15.4,
1969 JAN,15.8,
1969 FEB,15.4,
1969 MAR,16.4,
1969 APR,16.3,
1969 MAY,16,
1969 JUN,16.5,
1969 JUL,16.5,
1969 AUG,16.3,
1969 SEP,16.6,
1969 OCT,16.6,
1969 NOV,16.9,
1969 DEC,16.9,
1970 JAN,17.2,
1970 FEB,17.5,
1970 MAR,17.8,
1970 APR,18,
1970 MAY,18,
1970 JUN,18.6,
1970 JUL,18.6,
1970 AUG,18.6,
1970 SEP,18.9,
1970 OCT,19.2,
1970 NOV,19.2,
1970 DEC,19.2,
1971 JAN,19.9,
1971 FEB,19.9,
1971 MAR,20.3,
1971 APR,20.2,
1971 MAY,20.4,
1971 JUN,21,
1971 JUL,20.6,
1971 AUG,20.7,
1971 SEP,21,
1971 OCT,21.3,
1971 NOV,21.3,
1971 DEC,21,
1972 JAN,21.6,
1972 FEB,21.6,
1972 MAR,22.5,
1972 APR,22.7,
1972 MAY,22.7,
1972 JUN,23.3,
1972 JUL,23.4,
1972 AUG,23.3,
1972 SEP,24,
1972 OCT,24.5,
1972 NOV,24.7,
1972 DEC,24.4,
1973 JAN,24.8,
1973 FEB,25.1,
1973 MAR,25.5,
1973 APR,25.4,
1973 MAY,26.1,
