Change date,base rate,CPI,RPI
Jan-70,8,,5
Feb-70,8,,4.9
Mar-70,7.5,,5.1
Apr-70,7,,5.6
May-70,7,,6.1
Jun-70,7,,5.9
Jul-70,7,,6.7
Aug-70,7,,6.8
Sep-70,7,,7
Oct-70,7,,7.4
Nov-70,7,,7.9
Dec-70,7,,7.9
Jan-71,7,,8.5
Feb-71,7,,8.5
Mar-71,7,,8.8
Apr-71,6,,9.4
May-71,6,,9.8
Jun-71,6,,10.3
Jul-71,6,,10.1
Aug-71,6,,10.3
Sep-71,5,,9.9
Oct-71,5,,9.4
Nov-71,5,,9.2
Dec-71,5,,9
Jan-72,5,,8.2
Feb-72,5,,8.1
Mar-72,5,,7.6
Apr-72,5,,6.3
May-72,5,,6.1
Jun-72,6,,6.1
Jul-72,6,,5.8
Aug-72,6,,6.6
Sep-72,6,,7
Oct-72,7.25,,7.9
Oct-72,7.5,,7.9
Nov-72,7.5,,7.6
Dec-72,8,,7.7
Dec-72,9,,7.7
Jan-73,8.75,,7.7
Feb-73,8.75,,7.9
Mar-73,8.5,,8.2
Apr-73,8,,9.2
Apr-73,8.25,,9.2
May-73,8,,9.5
May-73,7.75,,9.5
Jun-73,7.5,,9.3
Jul-73,9,,9.4
Jul-73,11.5,,9.4
Aug-73,11.5,,8.9
Sep-73,11.5,,9.3
Oct-73,11.25,,9.9
Nov-73,13,,10.3
Dec-73,13,,10.6
Jan-74,12.75,,12
Feb-74,12.5,,13.2
Mar-74,12.5,,13.5
Apr-74,12.25,,15.2
Apr-74,12,,15.2
May-74,11.75,,16
Jun-74,11.75,,16.5
Jul-74,11.75,,17.1
Aug-74,11.75,,16.9
Sep-74,11.5,,17.1
Oct-74,11.5,,17.1
Nov-74,11.5,,18.3
Dec-74,11.5,,19.1
Jan-75,11.25,,19.9
Jan-75,11,,19.9
Feb-75,10.75,,19.9
Feb-75,10.5,,19.9
Mar-75,10.25,,21.2
Mar-75,10,,21.2
Apr-75,9.75,,21.7
May-75,10,,25
Jun-75,10,,26.1
Jul-75,11,,26.3
Aug-75,11,,26.9
Sep-75,11,,26.6
Oct-75,12,,25.9
Nov-75,11.75,,25.2
Dec-75,11.5,,24.9
Dec-75,11.25,,24.9
Jan-76,11,,23.4
Jan-76,10.75,,23.4
Jan-76,10.5,,23.4
Feb-76,10,,22.9
Feb-76,9.5,,22.9
Mar-76,9.25,,21.2
Mar-76,9,,21.2
Apr-76,10.5,,18.9
May-76,11.5,,15.4
Jun-76,11.5,,13.8
Jul-76,11.5,,12.9
Aug-76,11.5,,13.8
Sep-76,13,,14.3
Oct-76,15,,14.7
Nov-76,14.75,,15
Dec-76,14.5,,15.1
Dec-76,14.25,,15.1
Jan-77,14,,16.6
Jan-77,13.25,,16.6
Jan-77,12.25,,16.2
Feb-77,12,,16.2
Mar-77,11,,16.2
Mar-77,10.5,,16.7
Mar-77,9.5,,17.5
Apr-77,9.25,,17.5
Apr-77,9,,17.5
Apr-77,8.75,,17.1
May-77,8.25,,17.1
May-77,8,,17.1
Jun-77,8,,17.7
Jul-77,8,,17.7
Aug-77,7.5,,17.6
Aug-77,7,,16.5
Sep-77,6.5,,15.6
Sep-77,6,,15.6
Oct-77,5.5,,14.1
Oct-77,5,,13
Nov-77,7,,12.1
Dec-77,7,,12.1
Jan-78,6.5,,9.9
Feb-78,6.5,,9.5
Mar-78,6.5,,9.1
Apr-78,7.5,,7.9
May-78,8.75,,7.7
May-78,9,,7.4
Jun-78,10,,7.8
Jul-78,10,,7.8
Aug-78,10,,8
Sep-78,10,,7.8
Oct-78,10,,7.8
Nov-78,12.5,,8.1
Dec-78,12.5,,8.4
Jan-79,12.5,,9.3
Feb-79,14,,9.6
Mar-79,13,,9.8
Apr-79,12,,10.1
May-79,12,,10.3
Jun-79,14,,11.4
Jul-79,14,,15.6
Aug-79,14,,15.8
Sep-79,14,,16.5
Oct-79,14,,17.2
Nov-79,17,,17.4
Dec-79,17,,17.2
Jan-80,17,,18.4
Feb-80,17,,19.1
Mar-80,17,,19.8
Apr-80,17,,21.8
May-80,17,,21.9
Jun-80,17,,21
Jul-80,16,,16.9
Aug-80,16,,16.3
Sep-80,16,,15.9
Oct-80,16,,15.4
Nov-80,14,,15.3
Dec-80,14,,15.1
Jan-81,14,,13
Feb-81,14,,12.5
Mar-81,12,,12.6
Apr-81,12,,12
May-81,12,,11.7
Jun-81,12,,11.3
Jul-81,12,,10.9
Aug-81,12.69,,11.5
Sep-81,14,,11.4
Oct-81,15,,11.7
Oct-81,15.13,,11.7
Nov-81,15.06,,12
Nov-81,14.63,,12
Nov-81,14.56,,12
Dec-81,14.38,,12
Jan-82,14.31,,12
Jan-82,14.25,,12
Jan-82,14.13,,12
Jan-82,14,,12
Jan-82,13.88,,12
Feb-82,13.81,,11
Feb-82,13.63,,11
Mar-82,13.25,,10.4
Apr-82,13.13,,9.4
Apr-82,13,,9.4
Apr-82,13.13,,9.4
May-82,13.13,,9.5
Jun-82,12.63,,9.2
Jul-82,12.5,,8.7
Jul-82,12.25,,8.7
Jul-82,12.13,,8.7
Jul-82,12.06,,8.7
Jul-82,11.94,,8.7
Jul-82,11.81,,8.7
Jul-82,11.75,,8.7
Jul-82,11.63,,8.7
Aug-82,11.56,,8
Aug-82,11.5,,8
Aug-82,11.38,,8
Aug-82,11.25,,8
Aug-82,11.13,,8
Aug-82,11,,8
Aug-82,10.88,,8
Aug-82,10.63,,8
Sep-82,10.5,,7.3
Sep-82,10.38,,7.3
Sep-82,10.25,,7.3
Sep-82,10.13,,7.3
Oct-82,9.63,,6.8
Nov-82,9.38,,6.3
Nov-82,9.13,,6.3
Nov-82,10,,6.3
Dec-82,10,,5.4
Jan-83,11,,4.9
Feb-83,11,,5.3
Mar-83,10.56,,4.6
Apr-83,10.31,,4
Apr-83,10.06,,4
May-83,10.06,,3.7
Jun-83,9.81,,3.7
Jun-83,9.56,,3.7
Jul-83,9.56,,4.2
Aug-83,9.44,,4.6
Aug-83,9.56,,4.6
Sep-83,9.56,,5.1
Oct-83,9.06,,5
Nov-83,9.06,,4.8
Dec-83,9.06,,5.3
Jan-84,9.06,,5.1
Feb-84,9.06,,5.1
Mar-84,8.81,,5.2
Mar-84,8.56,,5.2
Apr-84,8.56,,5.2
May-84,9.06,,5.1
Jun-84,8.88,,5.1
Jul-84,10,,4.5
Jul-84,12,,4.5
Aug-84,11.5,,5
Aug-84,11,,5
Aug-84,10.75,,5
Aug-84,10.5,,5
Sep-84,10.5,,4.7
Oct-84,10.5,,5
Nov-84,10,,4.9
Nov-84,9.75,,4.9
Nov-84,9.5,,4.9
Dec-84,9.5,,4.6
Jan-85,11.88,,5
Jan-85,13.88,,5
Feb-85,13.88,,5.4
Mar-85,13.38,,6.1
Mar-85,12.88,,6.1
Apr-85,12.38,,6.9
May-85,12.38,,7
Jun-85,12.38,,7
Jul-85,11.88,,6.9
Jul-85,11.38,,6.9
Aug-85,11.38,,6.2
Sep-85,11.38,,5.9
Oct-85,11.38,,5.4
Nov-85,11.38,,5.5
Dec-85,11.38,,5.7
Jan-86,12.38,,5.5
Feb-86,12.38,,5.1
Mar-86,11.38,,4.2
Apr-86,10.88,,3
Apr-86,10.38,,2.8
May-86,9.88,,2.5
Jun-86,9.88,,2.5
Jul-86,9.88,,2.4
Aug-86,9.88,,2.4
Sep-86,9.88,,3
Oct-86,10.88,,3
Nov-86,10.88,,3.5
Dec-86,10.88,,3.7
Jan-87,10.88,,3.9
Feb-87,10.88,,3.9
Mar-87,10.88,,4
Mar-87,10.38,,4.2
Mar-87,9.88,,4.1
Apr-87,9.38,,4.1
May-87,8.88,,4.1
Jun-87,8.88,,4.2
Jul-87,8.88,,4.4
Aug-87,9.88,,4.4
Sep-87,9.88,,4.2
Oct-87,9.38,,4.5
Nov-87,8.88,,4.1
Dec-87,8.38,,3.7
Jan-88,8.38,,3.3
Feb-88,8.88,,3.3
Mar-88,8.38,,3.5
Apr-88,7.88,,3.9
May-88,7.38,,4.2
Jun-88,7.88,,4.6
Jun-88,8.38,,4.6
Jun-88,8.88,,4.6
Jul-88,9.88,,4.8
Jul-88,10.38,,4.8
Aug-88,10.88,,5.7
Aug-88,11.88,,5.7
Sep-88,11.88,,5.9
Oct-88,11.88,,6.4
Nov-88,12.88,,6.4
Dec-88,12.88,,6.8
Jan-89,12.88,4.9,
Feb-89,12.88,5,
Mar-89,12.88,5,
