Change date,base rate
Jan-70,8
Feb-70,8
Mar-70,7.5
Apr-70,7
May-70,7
Jun-70,7
Jul-70,7
Aug-70,7
Sep-70,7
Oct-70,7
Nov-70,7
Dec-70,7
Jan-71,7
Feb-71,7
Mar-71,7
Apr-71,6
May-71,6
Jun-71,6
Jul-71,6
Aug-71,6
Sep-71,5
Oct-71,5
Nov-71,5
Dec-71,5
Jan-72,5
Feb-72,5
Mar-72,5
Apr-72,5
May-72,5
Jun-72,6
Jul-72,6
Aug-72,6
Sep-72,6
Oct-72,7.25
Oct-72,7.5
Nov-72,7.5
Dec-72,8
Dec-72,9
Jan-73,8.75
Feb-73,8.75
Mar-73,8.5
Apr-73,8
Apr-73,8.25
May-73,8
May-73,7.75
Jun-73,7.5
Jul-73,9
Jul-73,11.5
Aug-73,11.5
Sep-73,11.5
Oct-73,11.25
Nov-73,13
Dec-73,13
Jan-74,12.75
Feb-74,12.5
Mar-74,12.5
Apr-74,12.25
Apr-74,12
May-74,11.75
Jun-74,11.75
Jul-74,11.75
Aug-74,11.75
Sep-74,11.5
Oct-74,11.5
Nov-74,11.5
Dec-74,11.5
Jan-75,11.25
Jan-75,11
Feb-75,10.75
Feb-75,10.5
Mar-75,10.25
Mar-75,10
Apr-75,9.75
May-75,10
Jun-75,10
Jul-75,11
Aug-75,11
Sep-75,11
Oct-75,12
Nov-75,11.75
Dec-75,11.5
Dec-75,11.25
Jan-76,11
Jan-76,10.75
Jan-76,10.5
Feb-76,10
Feb-76,9.5
Mar-76,9.25
Mar-76,9
Apr-76,10.5
May-76,11.5
Jun-76,11.5
Jul-76,11.5
Aug-76,11.5
Sep-76,13
Oct-76,15
Nov-76,14.75
Dec-76,14.5
Dec-76,14.25
Jan-77,14
Jan-77,13.25
Jan-77,12.25
Feb-77,12
Mar-77,11
Mar-77,10.5
Mar-77,9.5
Apr-77,9.25
Apr-77,9
Apr-77,8.75
May-77,8.25
May-77,8
Jun-77,8
Jul-77,8
Aug-77,7.5
Aug-77,7
Sep-77,6.5
Sep-77,6
Oct-77,5.5
Oct-77,5
Nov-77,7
Dec-77,7
Jan-78,6.5
Feb-78,6.5
Mar-78,6.5
Apr-78,7.5
May-78,8.75
May-78,9
Jun-78,10
Jul-78,10
Aug-78,10
Sep-78,10
Oct-78,10
Nov-78,12.5
Dec-78,12.5
Jan-79,12.5
Feb-79,14
Mar-79,13
Apr-79,12
May-79,12
Jun-79,14
Jul-79,14
Aug-79,14
Sep-79,14
Oct-79,14
Nov-79,17
Dec-79,17
Jan-80,17
Feb-80,17
Mar-80,17
Apr-80,17
May-80,17
Jun-80,17
Jul-80,16
Aug-80,16
Sep-80,16
Oct-80,16
Nov-80,14
Dec-80,14
Jan-81,14
Feb-81,14
Mar-81,12
Apr-81,12
May-81,12
Jun-81,12
Jul-81,12
Aug-81,12.69
Sep-81,14
Oct-81,15
Oct-81,15.13
Nov-81,15.06
Nov-81,14.63
Nov-81,14.56
Dec-81,14.38
Jan-82,14.31
Jan-82,14.25
Jan-82,14.13
Jan-82,14
Jan-82,13.88
Feb-82,13.81
Feb-82,13.63
Mar-82,13.25
Apr-82,13.13
Apr-82,13
Apr-82,13.13
May-82,13.13
Jun-82,12.63
Jul-82,12.5
Jul-82,12.25
Jul-82,12.13
Jul-82,12.06
Jul-82,11.94
Jul-82,11.81
Jul-82,11.75
Jul-82,11.63
Aug-82,11.56
Aug-82,11.5
Aug-82,11.38
Aug-82,11.25
Aug-82,11.13
Aug-82,11
Aug-82,10.88
Aug-82,10.63
Sep-82,10.5
Sep-82,10.38
Sep-82,10.25
Sep-82,10.13
Oct-82,9.63
Nov-82,9.38
Nov-82,9.13
Nov-82,10
Dec-82,10
Jan-83,11
Feb-83,11
Mar-83,10.56
Apr-83,10.31
Apr-83,10.06
May-83,10.06
Jun-83,9.81
Jun-83,9.56
Jul-83,9.56
Aug-83,9.44
Aug-83,9.56
Sep-83,9.56
Oct-83,9.06
Nov-83,9.06
Dec-83,9.06
Jan-84,9.06
Feb-84,9.06
Mar-84,8.81
Mar-84,8.56
Apr-84,8.56
May-84,9.06
Jun-84,8.88
Jul-84,10
Jul-84,12
Aug-84,11.5
Aug-84,11
Aug-84,10.75
Aug-84,10.5
Sep-84,10.5
Oct-84,10.5
Nov-84,10
Nov-84,9.75
Nov-84,9.5
Dec-84,9.5
Jan-85,11.88
Jan-85,13.88
Feb-85,13.88
Mar-85,13.38
Mar-85,12.88
Apr-85,12.38
May-85,12.38
Jun-85,12.38
Jul-85,11.88
Jul-85,11.38
Aug-85,11.38
Sep-85,11.38
Oct-85,11.38
Nov-85,11.38
Dec-85,11.38
Jan-86,12.38
Feb-86,12.38
Mar-86,11.38
Apr-86,10.88
Apr-86,10.38
May-86,9.88
Jun-86,9.88
Jul-86,9.88
Aug-86,9.88
Sep-86,9.88
Oct-86,10.88
Nov-86,10.88
Dec-86,10.88
Jan-87,10.88
Feb-87,10.88
Mar-87,10.88
Mar-87,10.38
Mar-87,9.88
Apr-87,9.38
May-87,8.88
Jun-87,8.88
Jul-87,8.88
Aug-87,9.88
Sep-87,9.88
Oct-87,9.38
Nov-87,8.88
Dec-87,8.38
Jan-88,8.38
Feb-88,8.88
Mar-88,8.38
Apr-88,7.88
May-88,7.38
Jun-88,7.88
Jun-88,8.38
Jun-88,8.88
Jul-88,9.88
Jul-88,10.38
Aug-88,10.88
Aug-88,11.88
Sep-88,11.88
Oct-88,11.88
Nov-88,12.88
Dec-88,12.88
Jan-89,12.88
Feb-89,12.88
Mar-89,12.88
Apr-89,12.88
May-89,13.75
Jun-89,13.75
Jul-89,13.75
Aug-89,13.84
Sep-89,13.88
Sep-89,13.75
Oct-89,14.88
Nov-89,14.88
Dec-89,14.88
Jan-90,14.88
Feb-90,14.88
Mar-90,14.88
Apr-90,14.88
May-90,14.88
Jun-90,14.88
