Period,AWE Deflated by RPI
1964 Q1 ,4.56
1964 Q2 ,6.29
1964 Q3 ,4.69
1964 Q4 ,4.59
1965 Q1 ,1.21
1965 Q2 ,0.36
1965 Q3 ,3.53
1965 Q4 ,3.73
1966 Q1 ,3.71
1966 Q2 ,4.09
1966 Q3 ,-1.14
1966 Q4 ,-1.24
1967 Q1 ,-1.1
1967 Q2 ,-0.06
1967 Q3 ,3.3
1967 Q4 ,5.4
1968 Q1 ,6.76
1968 Q2 ,2.64
1968 Q3 ,1.54
1968 Q4 ,-0.95
1969 Q1 ,-1.76
1969 Q2 ,3.49
1969 Q3 ,6.01
1969 Q4 ,8.13
1970 Q1 ,5.64
1970 Q2 ,6.34
1970 Q3 ,7.2
1970 Q4 ,4.06
1971 Q1 ,6.78
1971 Q2 ,1.11
1971 Q3 ,0.43
1971 Q4 ,1.33
1972 Q1 ,2
1972 Q2 ,6.91
1972 Q3 ,4.61
1972 Q4 ,8.17
1973 Q1 ,7.25
1973 Q2 ,3.74
1973 Q3 ,7.94
1973 Q4 ,4.77
1974 Q1 ,-1.06
1974 Q2 ,-0.52
1974 Q3 ,3.73
1974 Q4 ,7.99
1975 Q1 ,12.64
1975 Q2 ,6.81
1975 Q3 ,1.68
1975 Q4 ,-1.72
1976 Q1 ,-2.15
1976 Q2 ,3.49
1976 Q3 ,0.47
1976 Q4 ,-1.16
1977 Q1 ,-5.47
1977 Q2 ,-7.47
1977 Q3 ,-8.32
1977 Q4 ,-4.38
1978 Q1 ,1.76
1978 Q2 ,5.2
1978 Q3 ,7.39
1978 Q4 ,6.71
1979 Q1 ,4.09
1979 Q2 ,5.97
1979 Q3 ,0.57
1979 Q4 ,2.59
1980 Q1 ,2.89
1980 Q2 ,-0.52
1980 Q3 ,6.82
1980 Q4 ,3.98
1981 Q1 ,4.47
1981 Q2 ,1.66
1981 Q3 ,1.01
1981 Q4 ,0.51
1982 Q1 ,0.26
1982 Q2 ,1.31
1982 Q3 ,1.25
1982 Q4 ,1.83
1983 Q1 ,4.31
1983 Q2 ,5.23
1983 Q3 ,3.86
1983 Q4 ,3.05
1984 Q1 ,1.23
1984 Q2 ,0.52
1984 Q3 ,1.08
1984 Q4 ,2.65
1985 Q1 ,3
1985 Q2 ,2.24
1985 Q3 ,3.26
1985 Q4 ,2.77
1986 Q1 ,2.67
1986 Q2 ,5.41
1986 Q3 ,4.88
1986 Q4 ,4.48
1987 Q1 ,3.87
