date,uk base rate,us base rate
Jan-70,8,6
Feb-70,8,6
Mar-70,7.5,6
Apr-70,7,6
May-70,7,6
Jun-70,7,6
Jul-70,7,6
Aug-70,7,6
Sep-70,7,6
Oct-70,7,6
Nov-70,7,5.85
Dec-70,7,5.52
Jan-71,7,5.23
Feb-71,7,4.91
Mar-71,7,4.75
Apr-71,6,4.75
May-71,6,4.75
Jun-71,6,4.75
Jul-71,6,4.88
Aug-71,6,5
Sep-71,5,5
Oct-71,5,5
Nov-71,5,4.9
Dec-71,5,4.63
Jan-72,5,4.5
Feb-72,5,4.5
Mar-72,5,4.5
Apr-72,5,4.5
May-72,5,4.5
Jun-72,6,4.5
Jul-72,6,4.5
Aug-72,6,4.5
Sep-72,6,4.5
Oct-72,7.25,4.5
Oct-72,7.5,4.5
Nov-72,7.5,4.5
Dec-72,8,4.5
Dec-72,9,4.5
Jan-73,8.75,4.77
Feb-73,8.75,5.05
Mar-73,8.5,5.5
Apr-73,8,5.5
Apr-73,8.25,5.5
May-73,8,5.9
May-73,7.75,5.9
Jun-73,7.5,6.33
Jul-73,9,6.98
Jul-73,11.5,6.98
Aug-73,11.5,7.29
Sep-73,11.5,7.5
Oct-73,11.25,7.5
Nov-73,13,7.5
Dec-73,13,7.5
Jan-74,12.75,7.5
Feb-74,12.5,7.5
Mar-74,12.5,7.5
Apr-74,12.25,7.6
Apr-74,12,7.6
May-74,11.75,8
Jun-74,11.75,8
Jul-74,11.75,8
Aug-74,11.75,8
Sep-74,11.5,8
Oct-74,11.5,8
Nov-74,11.5,8
Dec-74,11.5,7.81
Jan-75,11.25,7.4
Jan-75,11,7.4
Feb-75,10.75,6.82
Feb-75,10.5,6.82
Mar-75,10.25,6.4
Mar-75,10,6.4
Apr-75,9.75,6.25
May-75,10,6.12
Jun-75,10,6
Jul-75,11,6
Aug-75,11,6
Sep-75,11,6
Oct-75,12,6
Nov-75,11.75,6
Dec-75,11.5,6
Dec-75,11.25,6
Jan-76,11,5.79
Jan-76,10.75,5.79
Jan-76,10.5,5.5
Feb-76,10,5.5
Feb-76,9.5,5.5
Mar-76,9.25,5.5
Mar-76,9,5.5
Apr-76,10.5,5.5
May-76,11.5,5.5
Jun-76,11.5,5.5
Jul-76,11.5,5.5
Aug-76,11.5,5.5
Sep-76,13,5.5
Oct-76,15,5.5
Nov-76,14.75,5.43
Dec-76,14.5,5.25
Dec-76,14.25,5.25
Jan-77,14,5.25
Jan-77,13.25,5.25
Jan-77,12.25,5.25
Feb-77,12,5.25
Mar-77,11,5.25
Mar-77,10.5,5.25
Mar-77,9.5,5.25
Apr-77,9.25,5.25
Apr-77,9,5.25
Apr-77,8.75,5.25
May-77,8.25,5.25
May-77,8,5.25
Jun-77,8,5.25
Jul-77,8,5.25
Aug-77,7.5,5.27
Aug-77,7,5.27
Sep-77,6.5,5.75
Sep-77,6,5.75
Oct-77,5.5,5.8
Oct-77,5,6
Nov-77,7,6
Dec-77,7,6
Jan-78,6.5,6.37
Feb-78,6.5,6.5
Mar-78,6.5,6.5
Apr-78,7.5,6.5
May-78,8.75,6.84
May-78,9,7
Jun-78,10,7
Jul-78,10,7.23
Aug-78,10,7.43
Sep-78,10,7.83
Oct-78,10,8.26
Nov-78,12.5,9.5
Dec-78,12.5,9.5
Jan-79,12.5,9.5
Feb-79,14,9.5
Mar-79,13,9.5
Apr-79,12,9.5
May-79,12,9.5
Jun-79,14,9.5
Jul-79,14,9.69
Aug-79,14,10.24
Sep-79,14,10.7
Oct-79,14,11.77
Nov-79,17,12
Dec-79,17,12
Jan-80,17,12
Feb-80,17,12.52
Mar-80,17,13
Apr-80,17,13
May-80,17,12.94
Jun-80,17,11.4
Jul-80,16,10.87
Aug-80,16,10
Sep-80,16,10.17
Oct-80,16,11
Nov-80,14,11.47
Dec-80,14,12.87
Jan-81,14,13
Feb-81,14,13
Mar-81,12,13
Apr-81,12,13
May-81,12,13.87
Jun-81,12,14
Jul-81,12,14
Aug-81,12.69,14
Sep-81,14,14
Oct-81,15,14
Oct-81,15.13,14
Nov-81,15.06,13.03
Nov-81,14.63,13.03
Nov-81,14.56,13.03
Dec-81,14.38,12.1
Jan-82,14.31,12
Jan-82,14.25,12
Jan-82,14.13,12
Jan-82,14,12
Jan-82,13.88,12
Feb-82,13.81,12
Feb-82,13.63,12
Mar-82,13.25,12
Apr-82,13.13,12
Apr-82,13,12
Apr-82,13.13,12
May-82,13.13,12
Jun-82,12.63,12
Jul-82,12.5,11.81
Jul-82,12.25,11.81
Jul-82,12.13,11.81
Jul-82,12.06,11.81
Jul-82,11.94,11.81
Jul-82,11.81,11.81
Jul-82,11.75,11.81
Jul-82,11.63,11.81
Aug-82,11.56,10.68
Aug-82,11.5,10.68
Aug-82,11.38,10.68
Aug-82,11.25,10.68
Aug-82,11.13,10.68
Aug-82,11,10.68
Aug-82,10.88,10.68
Aug-82,10.63,10.68
Sep-82,10.5,10
Sep-82,10.38,10
Sep-82,10.25,10
Sep-82,10.13,10
Oct-82,9.63,9.68
Nov-82,9.38,9.35
Nov-82,9.13,9.35
Nov-82,10,9.35
Dec-82,10,8.73
Jan-83,11,8.5
Feb-83,11,8.5
Mar-83,10.56,8.5
Apr-83,10.31,8.5
Apr-83,10.06,8.5
May-83,10.06,8.5
Jun-83,9.81,8.5
Jun-83,9.56,8.5
Jul-83,9.56,8.5
Aug-83,9.44,8.5
Aug-83,9.56,8.5
Sep-83,9.56,8.5
Oct-83,9.06,8.5
Nov-83,9.06,8.5
Dec-83,9.06,8.5
Jan-84,9.06,8.5
Feb-84,9.06,8.5
Mar-84,8.81,8.5
Mar-84,8.56,8.5
Apr-84,8.56,8.87
May-84,9.06,9
Jun-84,8.88,9
Jul-84,10,9
Jul-84,12,9
Aug-84,11.5,9
Aug-84,11,9
Aug-84,10.75,9
Aug-84,10.5,9
Sep-84,10.5,9
Oct-84,10.5,9
Nov-84,10,8.83
Nov-84,9.75,8.83
Nov-84,9.5,8.83
Dec-84,9.5,8.37
Jan-85,11.88,8
Jan-85,13.88,8
Feb-85,13.88,8
Mar-85,13.38,8
Mar-85,12.88,8
Apr-85,12.38,8
May-85,12.38,7.81
Jun-85,12.38,7.5
Jul-85,11.88,7.5
Jul-85,11.38,7.5
Aug-85,11.38,7.5
Sep-85,11.38,7.5
Oct-85,11.38,7.5
Nov-85,11.38,7.5
Dec-85,11.38,7.5
