Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types
1970-01,,quarterly,3920,4.32,0.52,2.06
1970-02,,quarterly,3920,4.32,0.52,2.06
1970-03,,quarterly,3920,4.32,0.52,2.06
1970-04,,quarterly,3980,4.26,1.55,2.09
1970-05,,quarterly,3980,4.26,1.55,2.09
1970-06,,quarterly,3980,4.26,1.55,2.09
1970-07,,quarterly,4163,7.89,4.59,2.18
1970-08,,quarterly,4163,7.89,4.59,2.18
1970-09,,quarterly,4163,7.89,4.59,2.18
1970-10,,quarterly,4163,6.77,0,2.18
1970-11,,quarterly,4163,6.77,0,2.18
1970-12,,quarterly,4163,6.77,0,2.18
1971-01,,quarterly,4265,8.81,2.44,2.24
1971-02,,quarterly,4265,8.81,2.44,2.24
1971-03,,quarterly,4265,8.81,2.44,2.24
1971-04,,quarterly,4387,10.2,2.86,2.3
1971-05,,quarterly,4387,10.2,2.86,2.3
1971-06,,quarterly,4387,10.2,2.86,2.3
1971-07,,quarterly,4651,11.71,6.02,2.44
1971-08,,quarterly,4651,11.71,6.02,2.44
1971-09,,quarterly,4651,11.71,6.02,2.44
1971-10,,quarterly,4854,16.59,4.37,2.55
1971-11,,quarterly,4854,16.59,4.37,2.55
1971-12,,quarterly,4854,16.59,4.37,2.55
1972-01,,quarterly,5158,20.95,6.28,2.71
1972-02,,quarterly,5158,20.95,6.28,2.71
1972-03,,quarterly,5158,20.95,6.28,2.71
1972-04,,quarterly,5646,28.7,9.45,2.96
1972-05,,quarterly,5646,28.7,9.45,2.96
1972-06,,quarterly,5646,28.7,9.45,2.96
1972-07,,quarterly,6499,39.74,15.11,3.41
1972-08,,quarterly,6499,39.74,15.11,3.41
1972-09,,quarterly,6499,39.74,15.11,3.41
1972-10,,quarterly,6966,43.51,7.19,3.65
1972-11,,quarterly,6966,43.51,7.19,3.65
1972-12,,quarterly,6966,43.51,7.19,3.65
1973-01,,quarterly,7758,50.39,11.37,4.07
1973-02,,quarterly,7758,50.39,11.37,4.07
1973-03,,quarterly,7758,50.39,11.37,4.07
1973-04,,quarterly,8144,44.24,4.97,4.27
1973-05,,quarterly,8144,44.24,4.97,4.27
1973-06,,quarterly,8144,44.24,4.97,4.27
1973-07,,quarterly,8692,33.75,6.73,4.56
1973-08,,quarterly,8692,33.75,6.73,4.56
1973-09,,quarterly,8692,33.75,6.73,4.56
1973-10,,quarterly,8794,26.24,1.17,4.61
1973-11,,quarterly,8794,26.24,1.17,4.61
1973-12,,quarterly,8794,26.24,1.17,4.61
1974-01,,quarterly,8915,14.92,1.39,4.68
1974-02,,quarterly,8915,14.92,1.39,4.68
1974-03,,quarterly,8915,14.92,1.39,4.68
1974-04,,quarterly,8936,9.73,0.23,4.69
1974-05,,quarterly,8936,9.73,0.23,4.69
1974-06,,quarterly,8936,9.73,0.23,4.69
1974-07,,quarterly,9017,3.74,0.91,4.73
