MTH/YR,US (CPI),Fed. discount rate
Jan-80,13.9,12
Feb-80,14.2,12.52
Mar-80,14.8,13
Apr-80,14.7,13
May-80,14.4,12.94
Jun-80,14.4,11.4
Jul-80,13.1,10.87
Aug-80,12.9,10
Sep-80,12.6,10.17
Oct-80,12.8,11
Nov-80,12.6,11.47
Dec-80,12.5,12.87
Jan-81,11.8,13
Feb-81,11.4,13
Mar-81,10.5,13
Apr-81,10,13
May-81,9.8,13.87
Jun-81,9.6,14
Jul-81,10.8,14
Aug-81,10.8,14
Sep-81,11,14
Oct-81,10.1,14
Nov-81,9.6,13.03
Dec-81,8.9,12.1
Jan-82,8.4,12
Feb-82,7.6,12
Mar-82,6.8,12
Apr-82,6.5,12
May-82,6.7,12
Jun-82,7.1,12
Jul-82,6.4,11.81
Aug-82,5.9,10.68
Sep-82,5,10
Oct-82,5.1,9.68
Nov-82,4.6,9.35
Dec-82,3.8,8.73
Jan-83,3.7,8.5
Feb-83,3.5,8.5
Mar-83,3.6,8.5
Apr-83,3.9,8.5
May-83,3.5,8.5
Jun-83,2.6,8.5
Jul-83,2.5,8.5
Aug-83,2.6,8.5
Sep-83,2.9,8.5
Oct-83,2.9,8.5
Nov-83,3.3,8.5
Dec-83,3.8,8.5
Jan-84,4.2,8.5
Feb-84,4.6,8.5
Mar-84,4.8,8.5
Apr-84,4.6,8.87
May-84,4.2,9
Jun-84,4.2,9
Jul-84,4.2,9
Aug-84,4.3,9
Sep-84,4.3,9
Oct-84,4.3,9
Nov-84,4.1,8.83
Dec-84,3.9,8.37
Jan-85,3.5,8
Feb-85,3.5,8
Mar-85,3.7,8
Apr-85,3.7,8
May-85,3.8,7.81
Jun-85,3.8,7.5
Jul-85,3.6,7.5
Aug-85,3.3,7.5
Sep-85,3.1,7.5
Oct-85,3.2,7.5
Nov-85,3.5,7.5
Dec-85,3.8,7.5
Jan-86,3.9,7.5
Feb-86,3.1,7.5
Mar-86,2.3,7.1
Apr-86,1.6,6.83
May-86,1.5,6.5
Jun-86,1.8,6.5
Jul-86,1.6,6.16
Aug-86,1.6,5.82
Sep-86,1.8,5.5
Oct-86,1.5,5.5
Nov-86,1.3,5.5
Dec-86,1.1,5.5
Jan-87,1.5,5.5
Feb-87,2.1,5.5
Mar-87,3,5.5
Apr-87,3.8,5.5
May-87,3.9,5.5
Jun-87,3.7,5.5
Jul-87,3.9,5.5
Aug-87,4.3,5.5
Sep-87,4.4,5.95
Oct-87,4.5,6
Nov-87,4.5,6
Dec-87,4.4,6
