MTH/YR,US CPI,UK CPI  (RPI 1980-88)
Jan-80,13.9,18.4
Feb-80,14.2,19.1
Mar-80,14.8,19.8
Apr-80,14.7,21.8
May-80,14.4,21.9
Jun-80,14.4,21
Jul-80,13.1,16.9
Aug-80,12.9,16.3
Sep-80,12.6,15.9
Oct-80,12.8,15.4
Nov-80,12.6,15.3
Dec-80,12.5,15.1
Jan-81,11.8,13
Feb-81,11.4,12.5
Mar-81,10.5,12.6
Apr-81,10,12
May-81,9.8,11.7
Jun-81,9.6,11.3
Jul-81,10.8,10.9
Aug-81,10.8,11.5
Sep-81,11,11.4
Oct-81,10.1,11.7
Nov-81,9.6,12
Dec-81,8.9,12
Jan-82,8.4,12
Feb-82,7.6,11
Mar-82,6.8,10.4
Apr-82,6.5,9.4
May-82,6.7,9.5
Jun-82,7.1,9.2
Jul-82,6.4,8.7
Aug-82,5.9,8
Sep-82,5,7.3
Oct-82,5.1,6.8
Nov-82,4.6,6.3
Dec-82,3.8,5.4
Jan-83,3.7,4.9
Feb-83,3.5,5.3
Mar-83,3.6,4.6
Apr-83,3.9,4
May-83,3.5,3.7
Jun-83,2.6,3.7
Jul-83,2.5,4.2
Aug-83,2.6,4.6
Sep-83,2.9,5.1
Oct-83,2.9,5
Nov-83,3.3,4.8
Dec-83,3.8,5.3
Jan-84,4.2,5.1
Feb-84,4.6,5.1
Mar-84,4.8,5.2
Apr-84,4.6,5.2
May-84,4.2,5.1
Jun-84,4.2,5.1
Jul-84,4.2,4.5
Aug-84,4.3,5
Sep-84,4.3,4.7
Oct-84,4.3,5
Nov-84,4.1,4.9
Dec-84,3.9,4.6
Jan-85,3.5,5
Feb-85,3.5,5.4
Mar-85,3.7,6.1
Apr-85,3.7,6.9
May-85,3.8,7
Jun-85,3.8,7
Jul-85,3.6,6.9
Aug-85,3.3,6.2
Sep-85,3.1,5.9
Oct-85,3.2,5.4
Nov-85,3.5,5.5
Dec-85,3.8,5.7
Jan-86,3.9,5.5
Feb-86,3.1,5.1
Mar-86,2.3,4.2
Apr-86,1.6,3
May-86,1.5,2.8
Jun-86,1.8,2.5
Jul-86,1.6,2.4
Aug-86,1.6,2.4
Sep-86,1.8,3
Oct-86,1.5,3
Nov-86,1.3,3.5
Dec-86,1.1,3.7
Jan-87,1.5,3.9
Feb-87,2.1,3.9
Mar-87,3,4
Apr-87,3.8,4.2
May-87,3.9,4.1
Jun-87,3.7,4.2
Jul-87,3.9,4.4
Aug-87,4.3,4.4
Sep-87,4.4,4.2
Oct-87,4.5,4.5
Nov-87,4.5,4.1
Dec-87,4.4,3.7
Jan-88,4,3.3
Feb-88,3.9,3.3
Mar-88,3.9,3.5
Apr-88,3.9,3.9
May-88,3.9,4.2
Jun-88,4,4.6
Jul-88,4.1,4.8
Aug-88,4,5.7
Sep-88,4.2,5.9
Oct-88,4.2,6.4
Nov-88,4.2,6.4
Dec-88,4.4,6.8
Jan-89,4.7,4.9
Feb-89,4.8,5
Mar-89,5,5
Apr-89,5.1,5.3
May-89,5.4,5.3
Jun-89,5.2,5.2
Jul-89,5,5.2
Aug-89,4.7,5
Sep-89,4.3,5.2
Oct-89,4.5,5.5
Nov-89,4.7,5.5
