MTH/YR,US CPI,UK CPI
Jan-00,2.7,0.8
Feb-00,3.2,0.9
Mar-00,3.8,0.6
Apr-00,3.1,0.6
May-00,3.2,0.5
Jun-00,3.7,0.8
Jul-00,3.7,0.9
Aug-00,3.4,0.6
Sep-00,3.5,1
Oct-00,3.4,1
Nov-00,3.4,1.1
Dec-00,3.4,0.8
Jan-01,3.7,0.9
Feb-01,3.5,0.8
Mar-01,2.9,0.9
Apr-01,3.3,1.2
May-01,3.6,1.7
Jun-01,3.2,1.7
Jul-01,2.7,1.4
Aug-01,2.7,1.8
Sep-01,2.6,1.3
Oct-01,2.1,1.2
Nov-01,1.9,0.8
Dec-01,1.6,1.1
Jan-02,1.1,1.6
Feb-02,1.1,1.5
Mar-02,1.5,1.5
Apr-02,1.6,1.4
May-02,1.2,0.8
Jun-02,1.1,0.6
Jul-02,1.5,1.1
Aug-02,1.8,1
Sep-02,1.5,1
Oct-02,2,1.4
Nov-02,2.2,1.5
Dec-02,2.4,1.7
Jan-03,2.6,1.3
Feb-03,3,1.6
Mar-03,3,1.5
Apr-03,2.2,1.4
May-03,2.1,1.3
Jun-03,2.1,1.1
Jul-03,2.1,1.3
Aug-03,2.2,1.4
Sep-03,2.3,1.4
Oct-03,2,1.4
Nov-03,1.8,1.3
Dec-03,1.9,1.3
Jan-04,1.9,1.4
Feb-04,1.7,1.3
Mar-04,1.7,1.1
Apr-04,2.3,1.1
May-04,3.1,1.5
Jun-04,3.3,1.6
Jul-04,3,1.4
Aug-04,2.7,1.3
Sep-04,2.5,1.1
Oct-04,3.2,1.2
Nov-04,3.5,1.5
Dec-04,3.3,1.7
Jan-05,3,1.6
Feb-05,3,1.7
Mar-05,3.1,1.9
Apr-05,3.5,1.9
May-05,2.8,1.9
Jun-05,2.5,2
Jul-05,3.2,2.3
Aug-05,3.6,2.4
Sep-05,4.7,2.5
Oct-05,4.3,2.3
Nov-05,3.5,2.1
Dec-05,3.4,1.9
Jan-06,4,1.9
Feb-06,3.6,2
Mar-06,3.4,1.8
Apr-06,3.5,2
May-06,4.2,2.2
Jun-06,4.3,2.5
Jul-06,4.1,2.4
Aug-06,3.8,2.5
Sep-06,2.1,2.4
Oct-06,1.3,2.4
Nov-06,2,2.7
Dec-06,2.5,3
Jan-07,2.1,2.7
Feb-07,2.4,2.8
Mar-07,2.8,3.1
Apr-07,2.6,2.8
May-07,2.7,2.5
Jun-07,2.7,2.4
Jul-07,2.4,1.9
Aug-07,2,1.8
Sep-07,2.8,1.8
Oct-07,3.5,2.1
Nov-07,4.3,2.1
Dec-07,4.1,2.1
Jan-08,4.3,2.2
Feb-08,4,2.5
Mar-08,4,2.5
Apr-08,3.9,3
May-08,4.2,3.3
Jun-08,5,3.8
Jul-08,5.6,4.4
Aug-08,5.4,4.7
Sep-08,4.9,5.2
Oct-08,3.7,4.5
Nov-08,1.1,4.1
Dec-08,0.1,3.1
Jan-09,0,3
Feb-09,0.2,3.2
Mar-09,-0.4,2.9
Apr-09,-0.7,2.3
May-09,-1.3,2.2
Jun-09,-1.4,1.8
Jul-09,-2.1,1.8
Aug-09,-1.5,1.6
Sep-09,-1.3,1.1
Oct-09,-0.2,1.5
Nov-09,1.8,1.9
Dec-09,2.7,2.9
Jan-10,2.6,3.5
Feb-10,2.1,3
Mar-10,2.3,3.4
Apr-10,2.2,3.7
May-10,2,3.4
Jun-10,1.1,3.2
Jul-10,1.2,3.1
Aug-10,1.1,3.1
Sep-10,1.1,3.1
Oct-10,1.2,3.2
Nov-10,1.1,3.3
Dec-10,1.5,3.7
Jan-11,1.6,4
Feb-11,2.1,4.4
Mar-11,2.7,4
Apr-11,3.2,4.5
May-11,3.6,4.5
Jun-11,3.6,4.2
Jul-11,3.6,4.4
Aug-11,3.8,4.5
Sep-11,3.9,5.2
Oct-11,3.5,5
Nov-11,3.4,4.8
Dec-11,3,4.2
Jan-12,2.9,3.6
Feb-12,2.9,3.4
Mar-12,2.7,3.5
Apr-12,2.3,3
May-12,1.7,2.8
Jun-12,1.7,2.4
Jul-12,1.4,2.6
Aug-12,1.7,2.5
Sep-12,2,2.2
Oct-12,2.2,2.7
Nov-12,1.8,2.7
Dec-12,1.7,2.7
Jan-13,1.6,2.7
Feb-13,2,2.8
Mar-13,1.5,2.8
Apr-13,1.1,2.4
May-13,1.4,2.7
Jun-13,1.8,2.9
Jul-13,2,2.8
Aug-13,1.5,2.7
Sep-13,1.2,2.7
Oct-13,1,2.2
Nov-13,1.2,2.1
Dec-13,1.5,2
Jan-14,1.6,1.9
Feb-14,1.1,1.7
Mar-14,1.5,1.6
Apr-14,2,1.8
May-14,2.1,1.5
Jun-14,2.1,1.9
Jul-14,2,1.6
Aug-14,1.7,1.5
Sep-14,1.7,1.2
Oct-14,1.7,1.3
Nov-14,1.3,1
Dec-14,0.8,0.5
Jan-15,-0.1,0.3
Feb-15,0,0
Mar-15,-0.1,0
Apr-15,-0.2,-0.1
May-15,0,0.1
Jun-15,0.1,0
Jul-15,0.2,0.1
Aug-15,0.2,0
Sep-15,0,-0.1
Oct-15,0.2,-0.1
Nov-15,0.5,0.1
Dec-15,0.7,0.2
Jan-16,1.4,0.3
Feb-16,1,0.3
Mar-16,0.9,0.5
Apr-16,1.1,0.3
May-16,1,0.3
Jun-16,1,0.5
Jul-16,0.8,0.6
Aug-16,1.1,0.6
Sep-16,1.5,1
Oct-16,1.6,0.9
Nov-16,1.7,1.2
Dec-16,2.1,1.6
Jan-17,2.5,1.8
Feb-17,2.7,2.3
Mar-17,2.4,2.3
Apr-17,2.2,2.7
May-17,1.9,2.9
Jun-17,1.6,2.6
Jul-17,1.7,2.6
Aug-17,1.9,2.9
Sep-17,2.2,3
Oct-17,2,3
Nov-17,2.2,3.1
Dec-17,2.1,3
Jan-18,2.1,3
Feb-18,2.2,2.7
Mar-18,2.4,2.5
Apr-18,2.5,2.4
May-18,2.8,2.4
Jun-18,2.9,2.4
Jul-18,2.9,2.5
Aug-18,2.7,2.7
Sep-18,2.3,2.4
Oct-18,2.5,2.4
Nov-18,2.2,2.3
Dec-18,1.9,2.1
Jan-19,1.6,1.8
Feb-19,1.5,1.9
Mar-19,1.9,1.9
Apr-19,2,2.1
May-19,1.8,2
Jun-19,1.6,2
Jul-19,1.8,2.1
Aug-19,1.7,1.7
Sep-19,1.7,1.7
Oct-19,1.8,1.5
Nov-19,2.1,1.5
Dec-19,2.3,1.3
Jan-20,2.5,1.8
Feb-20,2.3,1.7
Mar-20,1.5,1.5
Apr-20,0.3,0.8
May-20,0.1,0.5
Jun-20,0.6,0.6
Jul-20,1,1
Aug-20,1.3,0.2
Sep-20,1.4,0.5
Oct-20,1.2,0.7
Nov-20,1.2,0.3
Dec-20,1.4,0.6
Jan-21,1.4,0.7
Feb-21,1.7,0.4
Mar-21,2.6,0.7
Apr-21,4.2,1.5
May-21,5,2.1
Jun-21,5.4,2.5
Jul-21,5.4,2
Aug-21,5.3,3.2
Sep-21,5.4,3.1
Oct-21,6.2,4.2
